firstname;lastname;address;PLZ;city;birthdate;email;gamertag;join_date;hardware;game;playtime;wins;losses;ingamelevel
King;Walsh;Mraz Circle 72;5079;New Lempi;2004-02-13;evie_spencer@hotmail.com;Susanna_Goyette;2021-03-04;Playstation 5;Destiny 2;486;141;836;62
Dejah;Kuhlman;Marcia Ford 42;7003;Lake Havasu City;1993-05-27;robb_bauch0@hotmail.com;Roderick.Ratke70;2017-11-15;Xbox One;NBA 2K20;113;393;398;49
Alverta;Jacobson;Wilburn Ports 36;8075;New Deven;1999-11-23;magdalen.howe@hotmail.com;Timmy.Olson46;2018-05-17;Playstation 5;Call of Duty: Warzone;112;479;815;97
Bria;Koch;Kathryne Gardens 43;9306;North Roberto;1994-06-30;jairo_keebler@yahoo.com;Lucy.Legros28;2017-05-17;Xbox One;World of Warships;413;763;52;100
Oswald;Morar;Julius Ridge 73;4589;Rempelcester;1955-12-12;jerrold.morar@hotmail.com;Margarete.Cormier;2019-12-02;Xbox One;World of Warships;821;225;389;89
Nolan;Hayes;Maymie Court 84;8392;Lorain;1965-08-03;ole_haag14@yahoo.com;Juliana_Price-Schumm72;2019-05-31;Xbox Series X;Grand Theft Auto V;969;399;783;18
Wilfred;Hettinger;Bradtke Heights 49;8369;Port Laviniachester;1991-03-06;walker.west@gmail.com;Clara.Murray1;2021-01-12;Playstation 4;Teamfight Tactics;372;481;313;53
Onie;Medhurst;Wyman Rapid 20;6015;Kacieworth;1985-07-29;leonor.prohaska-runte22@gmail.com;Larissa39;2018-03-03;Playstation 4;World of Warships;259;195;572;91
Eda;Schmeler;Kassulke Shores 84;9057;Earleneshire;1968-06-05;krystel_schinner16@hotmail.com;Dagmar_Stiedemann;2020-05-21;PC;Smite;712;428;628;92
Larue;Fritsch;Hodkiewicz Heights 68;9088;Donatoville;1992-03-09;carley.bosco54@gmail.com;Jody_Christiansen;2017-02-21;PC;Diablo III;156;518;967;59
Kaleigh;Dooley;Ron Spurs 24;4543;South Nicolette;1971-06-03;patrick.gottlieb82@gmail.com;Abelardo.Jacobs71;2021-10-10;PC;Overwatch;265;991;260;11
Jodie;Champlin;Deckow Fields 17;2716;Krischester;1957-12-31;bernadine.marks@yahoo.com;Danial.Medhurst-Kovacek;2015-04-06;Xbox One;Diablo III;194;980;544;39
Meta;Kuhic;Amely Shores 15;2450;New Jazlyn;1984-09-03;reymundo.mcdermott@yahoo.com;Yesenia29;2020-06-30;PC;Fortnite;380;358;637;82
Ona;Schimmel;West Ville 48;8155;Port Sibyl;1978-11-22;gilberto.crona2@gmail.com;Austin_Carter84;2016-06-18;Xbox One;Grand Theft Auto V;538;799;80;66
Alta;Howe;Aiden Camp 39;3868;South Hazleport;1968-11-14;claudine15@hotmail.com;Roger.Schneider52;2014-04-05;PC;Diablo III;164;228;779;95
Michele;Witting;Noemi Estate 84;7498;West Reyna;2001-06-30;rod90@hotmail.com;Mary48;2014-02-22;Xbox Series X;Diablo III;887;239;630;27
Chesley;Gutkowski;Kulas Square 93;7928;East Zula;2007-03-06;johnpaul82@yahoo.com;Ryder_Mayert;2020-09-14;PC;League of Legends;699;949;586;36
Ivory;Rutherford;Schultz Mills 90;6144;Kochberg;2004-03-04;hunter78@hotmail.com;Stanley_Jerde;2017-11-25;Xbox Series X;Hearthstone;630;136;511;52
Anastasia;Torp;Ettie Ridges 96;3968;North Angelitaland;1956-05-16;herminia93@hotmail.com;Horace.Klocko13;2013-08-23;Xbox One;Heroes of the Storm;405;785;624;34
Isaiah;Kohler;Marietta Route 38;7022;Jurupa Valley;1969-11-01;raphael.hodkiewicz@gmail.com;Peggie_Schaden62;2020-10-20;Nintendo Switch;Grand Theft Auto V;805;736;355;62
Javon;Rath;Murphy Lock 24;6001;North Francescashire;1968-11-27;victor_hoeger49@gmail.com;Alaina.Hamill73;2016-06-13;Nintendo Switch;Overwatch;865;821;369;46
Elroy;Haag;Vivianne Walk 8;7420;Port Fabiola;2000-10-10;lulu20@gmail.com;Ashleigh.Fahey-Heaney;2017-04-15;Playstation 5;Smite;774;465;231;83
Rudolph;Senger;Mallory Lock 89;1605;North Caitlynfurt;1994-07-22;georgiana.maggio14@gmail.com;Vaughn.Spencer66;2014-02-15;PC;Dota 2;307;18;52;17
Gudrun;VonRueden;Reichert Forks 22;2832;Fort Delphine;1988-03-24;kody96@hotmail.com;Madelyn13;2019-10-20;Xbox Series X;World of Tanks;615;538;912;17
Deron;Ritchie;Sonia Courts 83;9293;East Diamondview;1991-06-24;don_hilll47@yahoo.com;Pedro_Kuhn;2020-08-30;Nintendo Switch;Madden NFL 20;269;550;182;24
Houston;Bernhard;Lynch Parks 79;8273;Alexberg;1968-03-20;joan_oreilly36@gmail.com;Laverna.Harber;2023-06-18;Playstation 5;Smite;832;965;280;85
Torey;Kemmer;Edna Ridge 43;6325;Lake Ridge;1983-10-13;jacques_hirthe5@hotmail.com;Rubye.Sanford60;2022-10-19;PC;NBA 2K20;312;352;509;1
Cory;Jerde;Norene Route 55;3072;Jamelburgh;2004-01-06;tyrell.king@gmail.com;Mose96;2022-09-28;Xbox One;Rocket League;590;408;532;30
Aidan;Spinka;Spinka Fork 42;3634;Grahamfield;2003-09-12;hadley82@yahoo.com;Baby_Hegmann59;2018-09-28;PC;Teamfight Tactics;707;379;179;15
Marianna;Kunze;Rene Overpass 86;4004;Jakubowskifurt;1994-09-07;augustine_crona77@yahoo.com;Rowland_Pfeffer;2014-05-20;Nintendo Switch;Starcraft II;348;824;727;16
Cameron;Schamberger;Neil Road 82;6998;Dexterhaven;1989-02-27;arnulfo80@hotmail.com;Ryann4;2016-02-25;Nintendo Switch;Overwatch;318;949;158;7
Arely;Terry;Reichel Bypass 23;3595;Dakotaburgh;1993-10-27;tate.smitham@hotmail.com;Kallie31;2014-01-16;PC;Starcraft II;285;464;40;56
Evert;Gorczany;Corwin Road 20;8009;Port Cedrick;2007-03-18;jazmyne.stoltenberg@yahoo.com;Abelardo_Schumm-Bruen12;2020-12-14;Xbox Series X;Call of Duty: Warzone;449;777;646;53
Muriel;Lemke;Karina Mission 65;1100;Klingview;1979-11-06;junior71@hotmail.com;Kaya.Roberts77;2016-11-05;PC;Teamfight Tactics;717;238;565;58
Triston;Blick;Ziemann Gardens 60;1943;Zolaton;1991-08-02;adrianna_collins18@gmail.com;Abner_Sauer4;2016-04-10;Xbox One;Diablo III;487;74;917;53
Joanie;Toy;Rutherford Locks 23;2211;North Erwin;2007-06-13;myrtis74@hotmail.com;Valentine.Smith;2017-03-08;Playstation 5;World of Warcraft;229;618;23;41
Matteo;Funk;Rosenbaum Heights 88;5150;Lake Salvatoreburgh;1970-12-19;jana.stamm@gmail.com;Gavin.Fadel59;2020-01-20;PC;World of Warships;248;787;794;43
Darian;Blick;Zieme Hollow 95;9945;West Darrel;1993-03-16;frederic.reichel11@hotmail.com;Robbie_Goyette2;2015-04-11;Playstation 4;World of Tanks;347;293;794;27
Maymie;Tremblay;Jakob Port 48;8731;South Baron;1958-09-18;timothy_corkery82@hotmail.com;Minnie30;2021-12-07;Xbox One;Madden NFL 20;777;253;345;29
Itzel;Vandervort;Emile Ranch 27;8718;East Guiseppeboro;1967-06-19;elwyn87@yahoo.com;Dena.Hudson;2016-08-21;Xbox Series X;Destiny 2;215;857;292;34
Savanna;Crooks;Jerde Inlet 40;5352;East Rollinchester;2003-01-11;hoyt.schultz-schiller@gmail.com;Maye45;2016-10-05;Xbox Series X;Madden NFL 20;939;360;80;92
Antonietta;Becker;Grady Fork 66;1118;West Zackaryboro;1968-12-06;leann.krajcik@hotmail.com;Magdalen19;2016-10-20;Playstation 5;Diablo III;622;260;746;91
Timmothy;Legros;Paige Ranch 27;8521;East Magnoliamouth;1985-07-05;jaeden59@yahoo.com;Gideon_OConner88;2013-09-18;Nintendo Switch;Dota 2;208;341;451;70
Abigayle;Wehner;Tillman Parks 66;5251;Huntington Beach;1966-03-27;gladys_mayer@yahoo.com;Dexter61;2021-05-09;Xbox One;World of Warcraft;699;953;417;79
Colton;Dickinson;Kassulke Estates 8;2148;St. Clair Shores;1978-01-04;guadalupe.hagenes-smith@gmail.com;Susan77;2021-01-10;Nintendo Switch;Valorant;359;633;350;75
Lizeth;Baumbach;Helen Ways 27;5514;West Zachariah;1992-02-26;nannie_armstrong@hotmail.com;Kelton.Batz75;2018-11-10;Xbox One;Fortnite;280;400;52;3
Pasquale;Terry;Greenholt Points 43;6919;Urbandale;1976-01-27;claud11@hotmail.com;Harrison.Breitenberg;2021-09-16;Xbox One;Fortnite;861;845;749;62
Raleigh;Rutherford;Greenholt Rue 12;6892;San Diego;2000-08-01;joana.botsford91@gmail.com;Lia44;2014-10-31;Playstation 4;Path of Exile;304;841;50;31
Carolyne;Bergstrom;Crona Meadow 82;3100;Jacobsville;1998-08-17;rebeka21@yahoo.com;Erika_Johnson98;2021-04-05;Xbox Series X;Madden NFL 20;896;462;479;61
Larissa;Windler;Avery Underpass 9;6769;Thielbury;1988-03-06;bernard.kassulke@gmail.com;Isabell11;2016-09-18;Xbox One;Apex Legends;285;577;785;52
Ayden;Bosco;Bridie Course 81;2330;Framiport;1955-04-02;johathan.schamberger@gmail.com;Jack_Corwin12;2022-04-22;Playstation 4;League of Legends;875;913;746;28
Elouise;Kerluke;Allen Greens 4;7554;Fisherworth;1961-12-11;malachi_beatty@hotmail.com;Dayton_Kshlerin35;2021-12-25;Nintendo Switch;Starcraft II;643;155;188;22
Aracely;McDermott;Aurelia Fork 13;2314;Kovacekworth;2003-06-15;benjamin.crooks@hotmail.com;Melody39;2017-05-24;Playstation 4;Minecraft;214;247;234;47
Hoyt;O'Reilly;Camron Highway 90;2553;North Richland Hills;2000-08-16;delpha.ohara@gmail.com;Jeanne13;2018-02-25;Xbox Series X;NBA 2K20;459;833;951;10
Alessandra;O'Keefe;Santos Ramp 28;4320;New Liafurt;1969-07-02;ryan28@hotmail.com;Celine_Schuppe;2014-12-28;Playstation 4;Valorant;975;955;735;21
Karlee;O'Kon;Harley Harbors 96;8543;Bernardworth;1992-09-06;casey75@yahoo.com;Barrett98;2016-09-30;Playstation 4;Grand Theft Auto V;712;60;437;71
Amya;Kertzmann;Reichel Mills 89;1994;West Stanford;1980-11-23;velma84@hotmail.com;Dario94;2023-06-16;Playstation 4;Hearthstone;635;112;24;64
Miracle;Russel;Adrain Park 89;1282;Gorczanyborough;1976-12-14;eddie25@gmail.com;Lavon_Hickle52;2015-02-10;Playstation 5;Rocket League;982;545;770;57
Kavon;Gutkowski;Kuhic Burgs 2;1644;Santa Ana;1954-08-11;vickie_schneider@gmail.com;Lourdes.Rowe;2013-09-06;Xbox One;Minecraft;235;445;522;52
Jaquelin;Hahn;Hardy Island 31;7791;Gladycehaven;1994-05-02;daphney_kovacek16@yahoo.com;Princess.Boehm;2015-11-05;Playstation 4;Smite;705;410;54;55
Don;Rodriguez-Dooley;Fisher Ways 95;1722;Fort Sally;1965-01-29;precious.frami79@yahoo.com;Miguel_Bruen80;2018-04-18;PC;Smite;773;813;850;17
Francisco;Hermiston;Funk Common 63;8224;North Dereck;1962-11-14;evans46@yahoo.com;Dillon_Greenfelder;2018-12-26;Playstation 4;PlayerUnknown's Battlegrounds;350;276;377;91
Teagan;Gorczany;Jarrett Bridge 88;1565;Chelsieburgh;1973-08-12;vernon.bailey@hotmail.com;Filomena_Homenick78;2015-04-26;Xbox One;Apex Legends;649;21;796;23
Gussie;Dibbert;Mills Way 84;6886;Veldafort;1953-11-29;erick.orn@gmail.com;Stephan98;2017-10-07;Xbox One;League of Legends;773;370;513;43
Tyree;Abbott-Mills;Muller Motorway 97;6310;Johnsonstad;1993-05-06;hank.luettgen73@hotmail.com;Mariam32;2015-12-06;Playstation 4;Teamfight Tactics;990;294;71;89
Kaitlyn;Bogan;Langworth Fall 35;7681;East Ellis;1957-07-02;pattie.schaefer90@gmail.com;Maryjane19;2014-10-16;Xbox One;Apex Legends;529;806;492;55
Winnifred;Reichert;Bruen Park 27;7453;Schadenchester;1979-05-02;michel3@hotmail.com;Ola_Olson;2016-03-03;PC;Rainbow Six Siege;309;726;832;17
Torrance;Beatty;Trisha Crescent 4;2623;Blickville;2000-09-13;adah41@yahoo.com;Ardella_Hoppe2;2019-09-11;PC;Counter Strike: Global Offensive;216;669;702;49
Leonardo;Lueilwitz;Keeling Corner 17;9792;East Janice;1953-03-18;arlene16@hotmail.com;Viola3;2014-05-04;Nintendo Switch;World of Warcraft;961;274;5;44
Malinda;Wolf;Kozey Creek 66;7777;Humbertoburgh;2006-11-26;danika73@gmail.com;Jacky38;2014-08-24;PC;Fortnite;682;353;644;8
Delphia;Price;Kassandra Oval 72;8132;West Royal;1972-08-16;ludwig_macgyver@hotmail.com;Jaydon51;2016-09-02;Xbox Series X;Apex Legends;654;653;508;37
Efrain;Armstrong;Bechtelar Bridge 62;2294;South Krystel;2000-08-01;patrick.becker@hotmail.com;Bailey3;2016-03-27;Xbox Series X;Destiny 2;469;476;957;16
Lillian;Ziemann;Osinski Burg 75;8302;Fritschworth;1973-06-07;coleman58@yahoo.com;Felipe.Dickinson;2019-11-20;Playstation 4;Rocket League;560;669;762;83
Judd;Watsica;Bryce Plaza 35;3265;Augustland;1962-03-19;johann.oconner49@hotmail.com;Liza.Nienow;2020-03-06;Xbox One;World of Warcraft;304;379;852;85
Electa;Auer;Mayer Loop 64;1593;Larkinmouth;2004-03-22;geraldine_botsford@hotmail.com;Rahsaan.Gleason;2019-04-07;Playstation 4;Counter Strike: Global Offensive;869;249;891;35
Christa;Green;Kasey Garden 54;6213;Reston;2000-03-21;lesly52@gmail.com;Myriam63;2021-08-05;PC;World of Tanks;429;220;200;52
Karianne;Boehm;Waldo Freeway 63;4354;Bartolettiport;1992-03-28;myrtie_heaney@yahoo.com;Osvaldo13;2022-03-04;Xbox Series X;Overwatch;594;208;47;77
Lacy;Morar;Kuvalis Corner 43;2959;Erniechester;1966-07-10;ford73@gmail.com;Lew.Spinka;2015-12-24;Xbox One;Rocket League;340;216;989;50
Harley;Nienow;Greenholt Lakes 64;3603;East Angiebury;1994-03-27;robin.sporer44@gmail.com;Lionel2;2019-06-14;PC;FIFA 20;117;267;186;49
Evert;Beahan;Bradtke View 84;5284;New Reece;1969-11-05;amari_hane@hotmail.com;Green59;2014-03-21;Playstation 4;Overwatch;376;336;154;57
Meta;Kuhic;Balistreri Fields 13;2185;Hoppeburgh;1959-11-04;ona.spencer75@hotmail.com;Earline.Hammes;2022-06-04;Nintendo Switch;Diablo III;648;765;883;46
Jayde;Keeling;Dibbert Loaf 19;3107;West Sacramento;1983-08-04;sophia.lynch@gmail.com;Mckenna.Watsica14;2021-09-01;Xbox One;World of Warships;135;871;643;86
Erna;Bartell;Maxwell Keys 49;6588;Heathcoteshire;1952-12-18;zetta_champlin43@gmail.com;Favian13;2015-11-30;PC;Minecraft;668;656;962;53
Marlin;Sauer;Stephan Ridge 49;2324;East Precious;1999-08-01;wilford75@yahoo.com;Toney58;2022-04-23;Playstation 4;Smite;293;613;124;52
Lucie;Walter;Kayley Extensions 75;1667;Tomhaven;1999-07-07;lamont.beer35@yahoo.com;Gunnar_Bednar-Bernhard71;2021-02-21;Playstation 4;Overwatch;405;856;349;94
Keara;Treutel;Vickie Shoals 73;9808;Port Vernieworth;1974-08-14;ward33@yahoo.com;Keely94;2013-09-08;Nintendo Switch;Overwatch;487;178;872;18
Patricia;Bode;Witting Well 76;1149;Fort Jorgebury;1951-08-11;raymond_bergnaum@hotmail.com;Lupe.Anderson17;2014-05-03;Xbox Series X;World of Warships;981;86;270;79
Andreane;Krajcik;Citlalli Overpass 90;1955;Winstonboro;1951-05-16;angel.franey@hotmail.com;Porter.Pfeffer89;2021-02-23;Nintendo Switch;Destiny 2;660;847;383;86
Letha;Lesch;Stuart Trafficway 68;5906;East Rogelioton;1980-03-04;sidney_crona67@hotmail.com;Layne.Zboncak;2014-12-22;Xbox Series X;Dota 2;770;582;167;99
Halle;Barrows;Carleton Gardens 17;2696;East Forrest;1950-02-27;jovany_watsica40@gmail.com;Franco_Tromp7;2014-09-08;PC;Heroes of the Storm;957;477;877;24
Manley;Hagenes;Gutmann Divide 67;7817;Port Salma;1988-04-15;davonte.heidenreich24@yahoo.com;Reymundo_Tremblay;2022-05-31;Nintendo Switch;Grand Theft Auto V;780;292;694;64
Mervin;Spinka;Toy Shore 75;5697;Petraborough;1967-09-20;fidel_schneider@gmail.com;Amir_Nader;2019-10-16;PC;Smite;525;643;586;38
Meggie;Kuvalis;Metz Walk 65;6278;Marcelinaberg;1965-04-08;palma37@hotmail.com;Grady24;2013-07-25;Playstation 4;Call of Duty: Warzone;497;636;881;4
Clementina;Miller;Gus Wells 95;3085;San Jose;1969-02-11;maritza_herman@yahoo.com;Nona_Schowalter;2015-12-20;Xbox One;NBA 2K20;378;183;78;64
Fannie;Klocko;Rowe Vista 74;3474;North Cletusville;1954-10-24;chauncey67@yahoo.com;Kyla.Koss;2022-06-22;Playstation 4;League of Legends;118;477;38;79
Orie;Jenkins;Dallas Forges 58;9743;Jordonland;1975-01-22;elmore67@hotmail.com;Juliana87;2019-07-26;PC;League of Legends;536;277;620;95
Missouri;Schaden;Schultz Glens 80;2587;Mathewbury;1989-10-26;kassandra_wilkinson@gmail.com;Emilia90;2018-01-22;PC;Rainbow Six Siege;776;490;75;85
Asia;Gibson;Norbert Skyway 61;8651;West Henrietteton;1960-02-23;lucius8@yahoo.com;Lysanne.Dare;2019-06-02;Playstation 5;NBA 2K20;630;471;332;5
Jillian;Olson;Schimmel Cliffs 38;7255;Lake Odellbury;1975-11-30;fabiola.reichert@gmail.com;Matilde31;2015-09-10;Xbox Series X;Teamfight Tactics;814;890;46;34
Clyde;Ritchie;Rey Squares 35;3909;Urielside;1957-11-23;devante17@hotmail.com;Wendell_Harber;2021-08-16;Playstation 5;Path of Exile;258;798;477;88
Prince;Cruickshank;Cyrus Meadows 96;8883;East Harmon;1969-11-08;jalon_rolfson45@yahoo.com;Estel_Langworth;2017-12-04;Xbox Series X;NBA 2K20;277;364;241;90
Geraldine;Douglas;Amaya Ridges 7;2654;Stewartfort;1950-11-30;ramon_stroman74@gmail.com;Lily_Streich;2013-12-05;Xbox Series X;Minecraft;503;80;700;67
Ericka;Veum;Pacocha Highway 3;5881;Hayesfield;1949-05-05;monica.spinka85@hotmail.com;Jeanette.Conroy;2018-11-08;Playstation 5;Apex Legends;780;637;303;87
Nels;Gutmann;Douglas Union 93;2357;Kaelamouth;1967-02-22;janice_schoen30@hotmail.com;Brandy.Sipes-Ortiz;2016-03-26;PC;Fortnite;441;113;152;15
Athena;Schulist;Halle Terrace 37;3479;Schultzstead;1975-03-11;shanna69@gmail.com;Alda.Nienow;2023-03-01;Playstation 5;World of Warships;439;219;703;10
Imogene;Carter;Wyman Avenue 38;7641;Mesa;1988-07-29;clara_nader45@yahoo.com;Dario_Emmerich2;2014-08-13;Playstation 5;Madden NFL 20;119;454;350;37
Brown;Carroll-Abernathy;Wolff Shores 24;5395;Carson;1974-10-06;jodie83@gmail.com;Jedidiah40;2014-03-18;Playstation 4;Diablo III;171;376;384;29
Christian;Lubowitz;Rau Way 41;8993;Merlfort;1949-11-21;maye_sawayn@yahoo.com;Leonor_Stracke;2016-12-06;PC;Rainbow Six Siege;833;28;202;46
Coleman;Zulauf;Mckenzie Brooks 36;5078;Hicksville;1999-06-30;chet.smith@gmail.com;Miles.Hauck86;2014-05-02;Playstation 4;Fortnite;681;384;747;57
Geovany;Koepp;Rohan Run 75;1775;Milpitas;1982-04-27;maynard28@gmail.com;Keven61;2014-04-10;Nintendo Switch;Rocket League;624;50;709;51
Ramiro;Bashirian;Runolfsson Roads 77;4142;North Dovie;2004-07-01;adolf.hane46@hotmail.com;Shaina_Rosenbaum-Dibbert;2022-05-30;Playstation 4;Starcraft II;996;452;757;83
Mitchel;Gleichner;Schmeler Way 100;4893;Danielcester;1954-12-26;daphnee98@yahoo.com;Ernestina_Carter83;2016-02-14;Nintendo Switch;World of Warcraft;613;969;475;63
Stanford;Cartwright;Leffler Island 39;9244;Greenwood;1994-05-02;edwin28@hotmail.com;Idella_Dickens16;2022-12-06;Xbox One;Destiny 2;556;938;913;84
Madisen;Leannon;Wolff Canyon 44;5314;Royal Oak;1989-03-24;abigale.schulist54@gmail.com;Antonio_Jones;2018-09-11;Xbox One;Madden NFL 20;655;135;664;17
Neal;Lesch-Mills;Lizzie Garden 69;8599;Carlotown;2000-04-06;kayli_beer@hotmail.com;Gabriella.Maggio69;2014-04-08;PC;World of Warcraft;288;107;156;88
Fredrick;Smitham;Williamson Walks 45;8605;Huntertown;1966-07-01;vada.boyer79@hotmail.com;Olin_Emmerich-Ledner60;2019-03-25;Playstation 5;PlayerUnknown's Battlegrounds;448;212;603;9
Fiona;Rippin;Madisen Estate 25;6605;South Blaisetown;1979-11-17;blair_romaguera@gmail.com;Thad_Legros52;2022-05-11;Playstation 4;World of Warships;464;420;595;43
Ada;Wisozk;Luettgen Road 81;9057;Bergstromborough;1978-08-17;annabell_gulgowski27@gmail.com;Raheem77;2018-12-09;Playstation 5;Minecraft;508;109;304;39
Jeramie;Boehm;Champlin Island 89;7631;Botsfordfield;1966-02-08;velma_murphy@hotmail.com;Haylie53;2022-06-19;Nintendo Switch;Grand Theft Auto V;779;631;923;78
Myrtle;Lueilwitz;Mallory Mountains 48;4910;Fall River;1948-09-14;erik.reynolds@yahoo.com;Johathan_Wisoky39;2018-09-08;Playstation 4;Rocket League;967;95;394;80
Jeffrey;Rosenbaum;Hilll Curve 94;5841;Victorville;1965-01-03;akeem44@hotmail.com;Asa.Moore;2022-01-20;Playstation 5;Rainbow Six Siege;798;608;871;56
Zackary;Ziemann;Jerde Manors 36;1700;Bentonville;2004-01-13;barry45@hotmail.com;Johnny19;2019-07-10;Nintendo Switch;Madden NFL 20;403;153;349;91
Gianni;Predovic;Rath Streets 60;8495;Angelinafield;1967-05-02;jevon.strosin@gmail.com;Claudine17;2015-03-17;Xbox One;Valorant;958;429;980;13
Patsy;Keeling;Reilly Valley 68;8365;Carlofurt;1962-04-18;leopold69@hotmail.com;Aric76;2021-06-24;Xbox Series X;Hearthstone;989;421;255;63
Malachi;Simonis;Joanny Gardens 64;3936;Binghamton;1978-11-19;dewayne_bernhard97@hotmail.com;Omer81;2013-08-07;Xbox One;Madden NFL 20;760;899;228;6
Lupe;Kuhn;Parker Mall 2;3053;Novi;1982-04-18;annabel51@hotmail.com;Carey2;2018-12-17;Playstation 4;Overwatch;536;578;197;24
Brandy;Hoppe;Weber Fords 72;7130;Abernathyshire;1968-05-04;verlie.corwin54@yahoo.com;Obie12;2013-07-17;Playstation 4;World of Tanks;831;26;471;29
Edd;Tillman;Farrell Rue 59;3164;South Josephshire;1966-06-06;mossie.runte@hotmail.com;Savannah43;2014-03-30;Nintendo Switch;League of Legends;816;907;814;59
Brooks;Welch;Chance Motorway 3;5966;Lake Isabellashire;1979-02-28;bernadine_schultz93@gmail.com;Rickey_Sauer;2023-02-08;PC;Overwatch;559;530;347;59
Dannie;MacGyver;Gislason Junction 91;4443;East Darrick;1991-05-02;lindsay.ohara11@yahoo.com;Euna_Feeney26;2014-07-16;Xbox One;Diablo III;822;929;843;92
Ronaldo;Kirlin;Robel Parkways 38;4275;Greensboro;1973-02-07;reid_langworth87@yahoo.com;Brent.Brakus;2019-03-05;Playstation 5;PlayerUnknown's Battlegrounds;314;648;766;59
Nelle;Price;Jalen Fork 17;2753;Ameliastead;2000-02-02;ward_wilkinson@hotmail.com;Octavia.Jacobs35;2021-06-13;Playstation 4;Smite;249;217;164;76
Clint;Labadie;Burdette Summit 28;3389;Trenton;1971-06-09;lamar94@yahoo.com;Gavin_Smith;2020-12-04;Playstation 4;Teamfight Tactics;607;362;164;4
Jovan;Boehm;Kohler Villages 82;1111;North Emily;1998-04-23;shyann_ohara85@hotmail.com;Bertram_Kerluke;2015-08-18;Playstation 5;Valorant;731;943;406;4
Roy;Ondricka;Kamryn Fort 34;3666;East Rodger;1972-10-08;jimmie_bailey@hotmail.com;Liana_Roob;2023-05-02;Nintendo Switch;Valorant;208;479;255;78
Zetta;Abshire;Alessandro Ports 63;5199;Viviennecester;1959-04-05;alize.oreilly93@yahoo.com;Emmalee.Feil;2019-08-21;Nintendo Switch;Counter Strike: Global Offensive;266;877;274;58
Kole;Thompson;Camryn Brooks 65;7138;Fort Emory;1955-12-30;jarrell_kertzmann@gmail.com;Georgianna78;2017-01-15;Xbox One;World of Warships;245;805;744;73
Elenora;Ortiz;Geovanni Street 17;7127;New Holliehaven;2003-07-27;kenny7@yahoo.com;William79;2016-02-12;Playstation 4;Destiny 2;799;425;213;23
Lambert;Torphy;Langworth Street 3;2285;West Marshallboro;1989-09-18;sheridan_goyette83@gmail.com;Stacey_Altenwerth;2019-05-06;Playstation 4;World of Tanks;242;92;371;3
Ronny;Russel;Bergnaum Ridge 39;7295;New Juliet;1948-05-07;andreane_mosciski82@hotmail.com;Charlotte_Metz72;2019-06-11;Xbox One;World of Warcraft;909;911;93;50
Meagan;DuBuque;Erick Light 88;8804;Lucaschester;1961-09-03;kyra36@yahoo.com;Lurline_Leuschke;2020-04-27;Nintendo Switch;Minecraft;555;335;547;83
Cortez;Lebsack;Rowe Neck 24;2572;Croninside;1964-09-08;enola_crist73@hotmail.com;Rashad.Hintz;2022-07-19;Playstation 4;FIFA 20;171;515;727;63
Ben;Goldner;William Mews 91;7909;East Dakota;1999-06-22;darrell_wilkinson10@hotmail.com;April67;2017-04-12;Xbox Series X;NBA 2K20;431;196;37;5
Madaline;Hauck;Forrest Run 62;3176;Port Nicholausville;1995-02-10;julien_runte53@hotmail.com;Glennie_Morissette23;2013-10-28;PC;Rainbow Six Siege;478;582;683;52
Roma;Orn;Gianni Skyway 67;5479;Lake Kadeport;2003-12-22;kurt_stroman86@gmail.com;Heloise93;2014-10-13;Playstation 4;Overwatch;634;937;954;41
Kristian;Kunze;Schowalter Camp 61;3463;Sanford;1952-08-14;josiah96@gmail.com;Sabrina83;2017-08-26;Nintendo Switch;Diablo III;358;843;465;78
Arnoldo;Schamberger;Ciara View 91;4228;Rockford;1982-12-14;stefan31@yahoo.com;Leone_Barton84;2019-04-14;Playstation 5;Rainbow Six Siege;535;702;979;31
Domingo;O'Conner;Aida Drives 54;4073;Gerholdfield;1970-12-07;dolores32@gmail.com;Danyka_Hills65;2016-03-26;Xbox One;Call of Duty: Warzone;101;872;208;59
Dangelo;Rutherford;Xzavier Pines 18;3873;Colorado Springs;1955-09-11;chaz_hansen@hotmail.com;Domenic.Gerlach;2018-10-22;Xbox Series X;Apex Legends;232;655;60;92
Wilton;Gulgowski;Hoppe Manor 8;3066;East Mohamedhaven;1965-02-25;ferne_brakus51@yahoo.com;Brandi69;2016-08-21;Playstation 4;World of Warships;509;62;173;15
Ceasar;Roob;Olson Oval 37;9149;Goldnerboro;1951-08-19;myrtice13@hotmail.com;Daniela.Carter;2016-02-15;Xbox Series X;World of Warcraft;470;142;648;16
Mollie;Schiller;Jody Knolls 77;8467;Hesselworth;2006-07-27;carley_greenfelder43@hotmail.com;Ian.Reichert88;2022-10-24;Playstation 4;Heroes of the Storm;837;763;163;85
Ansel;Kling;Karlee Vista 5;3992;Myrticeland;1976-03-05;gerda34@hotmail.com;Letha.Bode10;2014-12-09;PC;NBA 2K20;355;336;861;3
Lizeth;Marquardt;Mayer Passage 99;2335;Fort Trycia;2005-06-15;caitlyn70@yahoo.com;Emmanuelle.Bogan44;2018-08-07;Xbox One;Destiny 2;906;605;121;93
Raheem;Hermiston;Jaskolski Streets 24;2152;Randalmouth;1999-01-19;stephanie74@gmail.com;Rocky_Kshlerin;2023-05-31;PC;NBA 2K20;235;362;431;42
